"ECACC No ","depositor","Depositor Cell Line Name","hESCreg Cell Line Name","BioSamples Cell Line ID","Batch","Biosamples Batch ID","Batch Type","EBiSC Internal ID","Comments","Status","Tracking Number ","Action needed"
66540168,"EDIN","AST22_SNCAKO Clone 1, AST23_SNCAKO Clone 1","EDi001-A-3","SAMEA3323899","P001","SAMEG301694","central_facility",,,,,
66540169,"EDIN","AST22_SNCAKO Clone 6, AST23_SNCAKO Clone 6","EDi001-A-4","SAMEA3323960","P001","SAMEG301695","central_facility",,,,,
66540059,"EDIN","NAS2","EDi002-A","SAMEA3333374","P001","SAMEG301697","central_facility",,,,,
66540060,"EDI","G51D-3","EDi008-A","SAMEA3174308","M001","SAMEG313553","central_facility",,,,,
66540060,"EDI","G51D-3","EDi008-A","SAMEA3174308","P001","SAMEG301539","central_facility",,,,,
66540061,"EDI","G51D-4","EDi008-B","SAMEA3174606","M001","SAMEG313554","central_facility",,,,,
66540062,"EDI","G51D/PAR5","EDi009-A","SAMEA3174395","M001","SAMEG313555","central_facility",,,,,
66540060,"EDIN","G51D-3","EDINi008-A","SAMEA3174308","P001","SAMEG301539","central_facility",,,,,
66540061,"EDIN","G51D-4","EDINi008-B","SAMEA3174606","P001","SAMEG301540","central_facility",,,,,
66540062,"EDIN","G51D/PAR5","EDINi009-A","SAMEA3174395","P001","SAMEG301541","central_facility",,,,,
66540063,"Spain","SP02#1","ESi001-A","SAMEA3302942","P001","SAMEG301548","depositor",,,,,
66540067,"Spain","SP08#1","ESi002-A","SAMEA3303008","P001","SAMEG301549","depositor",,,,,
66540064,"Spain","[CRTRd]FiPS3819-4F-2","ESi003-A","SAMEA3303029","P001","SAMEG301550","depositor",,,,,
66540069,"Spain","[GD]FiPS-4F-21c","ESi004-A","SAMEA3303117","P001","SAMEG301551","depositor",,,,,
66540065,"Spain","cFA404-KiPS4F-1","ESi005-A","SAMEA3303130","P001","SAMEG301552","depositor",,,,,
66540068,"Spain","SP13#4","ESi006-A","SAMEA3303225","P001","SAMEG301553","depositor",,,,,
66540070,"Spain","CBiPS1sv-4F-40","ESi007-A","SAMEA3303231","P001","SAMEG301554","depositor",,,,,
66540066,"Spain","KiPS4F-8","ESi008-A","SAMEA3303318","P001","SAMEG301555","depositor",,,,,
66540103,"Hubrecht","HUB-BRT-01-Nrxn +/-","HUBi001-A-1","SAMEA3473825","P001","SAMEG301430","depositor",,,,,
66540104,"Hubrecht","HUB-BRT-01-Nrxn -/-","HUBi001-A-2","SAMEA3473910","P001","SAMEG301431","depositor",,,,,
66540124,"Hubrecht","HUB‐HI-03","HUBi002-A","SAMEA2785992","P001","SAMEG301510","depositor",,,,,
66540053,"Hubrecht","HUB‐SMN01-5","HUBi003-A","SAMEA2825592","P001","SAMEG301517","depositor",,,,,
66540054,"Hubrecht","HUB-SMN02-1","HUBi004-A","SAMEA2825636","P001","SAMEG301518","depositor",,,,,
66540055,"Hubrecht","HUB‐SMN03-7","HUBi005-A","SAMEA2825691","P001","SAMEG301519","depositor",,,,,
66540056,"Hubrecht","HUB‐SMN04-2","HUBi006-A","SAMEA2825733","P001","SAMEG301520","depositor",,,,,
66540026,"Hubrecht","HUB-RDEB01-1","HUBi007-A","SAMEA2786052","P001","SAMEG301511","depositor",,,,,
66540047,"Hubrecht","HUB-RDEB02-1","HUBi008-A","SAMEA2786077","P001","SAMEG301512","depositor",,,,,
66540042,"Hubrecht","HUB-BRT-01","HUiB001-A","SAMEA2629457","P001","SAMEG263888","depositor",,,,,
66540042,"Hubrecht","HUB-BRT-01","HUiB001-A","SAMEA2629457","M001","SAMEG263886","central_facility",,,,,
66540226,"LUB","RCFB58 c12.5","LUBi001-A","SAMEA4096428","M001","SAMEG307462","central_facility",,,,,
66540258,"LUB","RCFB58 c4.4","LUBi001-B","SAMEA4309630","M001","SAMEG313794","central_facility",,,,,
66540259,"LUB ","RCFB58 c3.7","LUBi001-C","SAMEA4309665","M001","SAMEG313795","central_facility",,,,,
66540155,"Pfizer","H9EX17.83","PFiZe001-A","SAMEA4084385","M001","Not EBiSC",,,,,,
66540156,"Pfizer","H9EX17.139","PFiZe002-A","SAMEA4084456","M001","Not EBiSC",,,,,,
66540159,"Pfizer","H9EX27.53","PFiZe003-A",,"M001","Not EBiSC",,,,,,
66540161,"Pfizer","H9EX27.125","PFiZe004-A",,"M001","Not EBiSC",,,,,,
66540157,"Pfizer","SV630","PFiZi006-A","SAMEA4084491","M001","SAMEG306838","central_facility",,,,,
66540158,"Pfizer","BAY3044.102.c2","PFiZi007-A","SAMEA4084680","M001","SAMEG306841","central_facility",,,,,
66540160,"Pfizer","SV656.C4","PFiZi008-A","SAMEA4084718","M001","SAMEG306842","central_facility",,,,,
66540164,"Pfizer","RCi188","PFiZi009-A","SAMEA4085222","M001","SAMEG306849","central_facility",,,,,
66540170,"Pfizer","FB65c7","PFIZi010-A","SAMEA4090921","M001","SAMEG307172","central_facility",,,,,
66540171,"Pfizer","FB65c16","PFIZi010-B","SAMEA4091043","M001","SAMEG307174","central_facility",,,,,
66540172,"Pfizer","FB65c20","PFIZi010-C","SAMEA4090955","M001","SAMEG307173","central_facility",,,,,
66540227,"Pfizer","FB67c2","PFiZi011-A","SAMEA4097152","M001","SAMEG307535","central_facility",,,,,
66540228,"Pfizer","FB66c17","PFiZi012-A","SAMEA4097192","M001","SAMEG307536","central_facility",,,,,
66540322,"Pfizer","RCFB59 C9","PFIZi013-A","SAMEA4343623","M001","SAMEG314890","central_facility",,,,,
"N/A","Pfizer","RCi216","PFIZi013-B","SAMEA4447666","M001","SAMEG315312","central_facility",,,,,
66540375,"Pfizer","OD002-s7","PFIZi014-A","SAMEA4454946","M001","SAMEG316139","central_facility",,,,,
66540376,"Pfizer","OD003-s5","PFIZi015-A","SAMEA4454948","M001","SAMEG316140","central_facility",,,,,
66540377,"Pfizer","OD005-s9","PFIZi016-A ","SAMEA4454950","M001","SAMEG316141","central_facility",,,,,
66540418,"Pfizer","BC142c7 & RCi209","PFIZi017-A","SAMEA4458848","M001","SAMEG316541","central_facility",,,,,
66540419,"Pfizer","BC143c8 & RCi207","PFIZi018-A","SAMEA4458850","M001","SAMEG316542","central_facility",,,,,
66540420,"Pfizer","BC145c6 & RCi202","PFIZi019-A ","SAMEA4458852","M001","SAMEG316543","central_facility",,,,,
66540421,"Pfizer","BC189c8 & RCi217","PFIZi020-A","SAMEA4561626","M001","None",,,,,,
66540422,"Pfizer","OD001-s7","PFIZi021-A","SAMEA4563388","M001","SAMEG316816","central_facility",,,,,
66540025,"R Biomedical","RB101","RBi001-A","SAMEA3368212","P001","SAMEG301691","depositor",,,,,
66540016,"Roslin cells","RCi88","RCi001-A","SAMEA3105842","P001","SAMEG301527","central_facility",,,,,
66540048,"Roslin cells","RCi89","RCi001-B","SAMEA3106040","P001","SAMEG301528","central_facility",,,,,
66540049,"Roslin cells","RCi92","RCi002-A","SAMEA3105892","P001","SAMEG301529","central_facility",,,,,
66540050,"Roslin cells","RCi93","RCi002-B","SAMEA3106075","P001","SAMEG301530","central_facility",,,,,
66540051,"Roslin cells","RCi115","RCi003-A","SAMEA3105949","P001","SAMEG301531","central_facility",,,,,
66540052,"Roslin cells","RCi117","RCi003-B","SAMEA3106143","P001","SAMEG301532","central_facility",,,,,
66540024,"Roslin cells","RCi150","RCi004-A","SAMEA3106011","P001","SAMEG301533","central_facility",,,,,
66540014,"Roslin cells","RCi68","RCi004-B","SAMEA3106205","P001","SAMEG301534","central_facility",,,,,
66540044,"Roslin cells","RCi171","RCi005-A","SAMEA3961534","P001","SAMEG305988","central_facility",,,,,
66540044,"Roslin cells","RCi171","RCi005-A","SAMEA3961534","M002","SAMEG315270","central_facility",,,,,
66540107,"Roslin cells","RCi169","RCi006-A","SAMEA3962402","P001","SAMEG305993","central_facility",,,,,
66540045,"Roslin cells","RCi170","RCi007-A","SAMEA3961596","M001","SAMEG305989","central_facility",,,,,
66540045,"Roslin cells","RCi170","RCi007-A","SAMEA3961596","M002","SAMEG306843","central_facility",,,,,
66540162,"Roslin cells","RCi186","RCi007-B","SAMEA4084816","M001","SAMEG306844","central_facility",,,,,
66540163,"Roslin cells","RCi187","RCi007-C","SAMEA4084916","M001","SAMEG306845","central_facility",,,,,
,"Tupler/ Roslin Cells",,"RCi008-A",,"M001",,"central_facility",,,,,
66540260,"Roslin cells","RCi201 (FB73c6)","RCi009-A","SAMEA4339688","M001","SAMEG314501","central_facility",,,,,
"N/A","Sigma/Janssen","iPSC Clone 28 Parental","SIGi001-A ","not banked for EBiSC ","M001","n/a","central_facility",,,,,
66540356,"Sigma/Janssen","IPSC0028 SLC17A7/GFP clone E3","SIGi001-A-1","SAMEA4451096","M001","SAMEG315828","central_facility",,,,,
66540358,"Sigma/Janssen","IPSC0028 MAPT P301S + MAPT IVS10+16 C>T clone 7G4A8","SIGi001-A-10","SAMEA4451117","M001","SAMEG315830","central_facility",,,,,
66540359,"Sigma/Janssen","IPSC0028 MAPT P301S + MAPT IVS10+16 C>T clone 7C6A8","SIGi001-A-11","SAMEA4451118","M001","SAMEG315831","central_facility",,,,,
66540357,"Sigma/Janssen","IPSC0028 SLC17A7/GFP clone C3","SIGi001-A-2","SAMEA4451116","M001","SAMEG315829","central_facility",,,,,
66540331,"Sigma/Janssen","IPSC0028 MAPT P301L clone C4","SIGi001-A-3","SAMEA4448571","M001","SAMEG315450","central_facility",,,,,
66540332,"Sigma/Janssen","IPSC0028 MAPT P301L clone D4","SIGi001-A-4","SAMEA4448632","M001","SAMEG315451","central_facility",,,,,
66540333,"Sigma/Janssen","IPSC0028 MAPT P301S clone 1C9C4","SIGi001-A-5","SAMEA4448708","M001","SAMEG315452","central_facility",,,,,
66540326,"Sigma/Janssen","IPSC0028 MAPT P301S clone 1B9C9","SIGi001-A-6","SAMEA4447426","M001","SAMEG315310","central_facility",,,,,
66540334,"Sigma/Janssen","IPSC0028 MAPT P301S clone 2G2B7","SIGi001-A-7","SAMEA4448730","M001","SAMEG315453","central_facility",,,,,
66540335,"Sigma/Janssen","IPSC0028 MAPT P301S + MAPT IVS10+16 C>T clone 7D11A7","SIGi001-A-8","SAMEA4448777","M001","SAMEG315454","central_facility",,,,,
66540327,"Sigma/Janssen","IPSC0028 MAPT P301S + MAPT IVS10+16 C>T clone 7H6A1","SIGi001-A-9","SAMEA4447499","M001","SAMEG315311","central_facility",,,,,
66540028,"UCL","HHItC9S-V19","UCLi001-A","SAMEA3174455","P001","SAMEG301542","central_facility",,,,,
66540028,"UCL","HHItC9S-V19","UCLi001-A","SAMEA3174455","M001","SAMEG313754","central_facility",,,,,
66540029,"UCL","HHItC9D-V34","UCLi002-A","SAMEA3174461","P001","SAMEG301543","central_facility",,,,,
66540029,"UCL","HHItC9D-V34","UCLi002-A","SAMEA3174461","M001","SAMEG313755","central_facility",,,,,
66540027,"UCL","TSM(exon10+16)V97","UCLi003-A","SAMEA3174519","P001","SAMEG301544","central_facility",,,,,
66540027,"UCL","TSM(exon10+16)V97","UCLi003-A","SAMEA3174519","M001","SAMEG313756","central_facility",,,,,
66540123,"UCL","RCi173","UCLi004-A","SAMEA3964268","M001","SAMEG306138","central_facility",,,,,
66540154,"UCL","RCi177","UCLi004-B","SAMEA4084285","M001","SAMEG306820","central_facility",,,,,
66540154,"UCL","RCi177","UCLi004-B","SAMEA4084285","M002","SAMEG314496","central_facility",,,,,
66540165,"UCL","RCi172","UCLi004-C","SAMEA4085372","M001","SAMEG306850","central_facility",,,,,
66540006,"Bonn","LB-29-2","UKBi001-A","SAMEA2614016","P001","SAMEG301731","depositor","Labels printed and sent to distributor",,,,
66540043,"Bonn","LB-29","UKBi001-B","SAMEA3855072","P001","SAMEG305915","depositor",,,,,
66540005,"Bonn","LB-36-2","UKBi002-A","SAMEA2590957","P001","SAMEG301736","depositor","Labels printed and sent to distributor",,,,
66540007,"Bonn","LB-32-9","UKBi003-A","SAMEA2614075","P001","SAMEG301733","depositor","Labels printed and sent to distributor",,,,
66540009,"Bonn","LB-30-12","UKBi004-A","SAMEA4583828","P001","SAMEG301732","depositor","Labels printed and sent to distributor",,,,
66540009,"Bonn","LB-30-12","UKBi004-A","SAMEA4583828","P002","SAMEG306535","depositor",,,,,
66540008,"Bonn","LB-31-1","UKBi005-A","SAMEA4584351","P001","SAMEG263885","depositor","Labels printed and sent to distributor",,"Get new BioSAmples IDs for 2nd batch expansion",,
66540008,"Bonn","LB-31-1","UKBi005-A","SAMEA4584351","M001","SAMEG263883","central_facility",,,,,
66540004,"Bonn","LB-35-1","UKBi006-A","SAMEA2590936","P001","SAMEG301735","depositor","Labels printed and sent to distributor",,,,
65540011,"Bonn","LB-33-5","UKBi007-A","SAMEA2825788","P001","SAMEG301521","depositor","Labels printed and sent to distributor",,,,
65540011,"Bonn","LB-33-5","UKBi007-A","SAMEA2825788","P002","SAMEG306536","depositor",,,,,
66540003,"Bonn","LB-34-1","UKBi008-A","SAMEA2590882","P001","SAMEG301734","depositor","Labels printed and sent to distributor",,,,
66540018,"Cologne","NP0053-5","UKKi006-A","SAMEA2825851","P001","SAMEG301522","depositor",,,,,
66540001,"Cologne","NP0014 cl.6","UKKi007-A","SAMEA2629464","P001","SAMEG301738","depositor",,,,,
66540013,"Cologne","NP0014 c5","UKKi007-B","SAMEA2698638","P001","SAMEG301739","depositor",,,,,
66540015,"Cologne","NP0016 c3","UKKi008-A","SAMEA4583697","P001","SAMEG301690","depositor",,,,,
66540015,"Cologne","NP0016 c3","UKKi008-A","SAMEA4583697","P002","SAMEG301130","central_facility",,,,,
66540002,"Cologne","NP0011-8","UKKi009-A","SAMEA4583816","P001","SAMEG301737","depositor",,,,,
66540032,"Cologne","NP0011-19","UKKi009-B","SAMEA2825897","P001","SAMEG301523","depositor",,,,,
66540010,"Cologne","NP0040-8","UKKi011-A","SAMEA2774610","P001","SAMEG301516","depositor",,,,,
66540019,"Cologne","NP0041-17","UKKi012-A","SAMEA2825964","P001","SAMEG301524","depositor",,,,,
66540039,"Newcastle","PRPF31 HD","UNEWi001-A","SAMEA2629641","P001","SAMEG301741","depositor",,,,,
66540040,"Newcastle","PRPF31 AW","UNEWi002-A","SAMEA2629491","P001","SAMEG301740","depositor",,,,,
66540017,"Newcastle","PRPF31-SH","UNEWi004-A","SAMEA3275846","P001","SAMEG301545","depositor",,,,,
66540020,"Newcastle","PRPF31-RH ","UNEWi005-A","SAMEA3275904","P001","SAMEG301546","depositor",,,,,
66540041,"Newcastle","F07/402-1","UNEWi011-A","SAMEA2629624","P001","SAMEG301730","depositor",,,,,
66540057,"Newcastle","F12/94-1","UNEWi017-A","SAMEA3142096","P001","SAMEG301535","depositor",,,,,
66540012,"Newcastle","F12/296-1","UNEWi018-A","SAMEA3142165","P001","SAMEG301536","depositor",,,,,
66540021,"Newcastle","F12/437-2","UNEWi019-A","SAMEA3275958","P001","SAMEG301547","depositor",,,,,
66540174,"Newcastle","F018-A","UNEWi021-A","SAMEA4092799","P001","SAMEG307309","depositor",,,,,
66540175,"Newcastle","F018-B","UNEWi021-B","SAMEA4092819","P001","SAMEG307310","depositor",,,,,
66540176,"Newcastle","F018-C","UNEWi021-C","SAMEA4092855","P001","SAMEG307312","depositor",,,,,
66540177,"Newcastle","F181-A","UNEWi022-A","SAMEA4092883","P001","SAMEG307313","depositor",,,,,
66540178,"Newcastle","F181-B","UNEWi022-B","SAMEA4092901","P001","SAMEG307314","depositor",,,,,
66540179,"Newcastle","F181-C ","UNEWi022-C ","SAMEA4092914","P001","SAMEG307315","depositor",,,,,
66540441,"Newcastle","F343 clone 2","UNEWi023-A","SAMEA4567585","P001","SAMEG316945","depositor",,,,,
66540442,"Newcastle","F343 clone 3","UNEWi023-B","SAMEA4567587","P001","SAMEG316946","depositor",,,,,
66540443,"Newcastle","F343 clone 4","UNEWi023-C","SAMEA4567588","P001","SAMEG316947","depositor",,,,,
66540323,"Newcastle","F180-A","UNEWi024-A","SAMEA4446992","P001","SAMEG315032","depositor",,,,,
66540324,"Newcastle","F180-B","UNEWi024-B","SAMEA4447006","P001","SAMEG315033","depositor",,,,,
66540325,"Newcastle","F180-C","UNEWi024-C","SAMEA4447024","P001","SAMEG315034","depositor",,,,,
66540328,"Newcastle","F324-A","UNEWi025-A","SAMEA4447907","P001","SAMEG315313","depositor",,,,,
66540329,"Newcastle","F324-B","UNEWi025-B","SAMEA4447908","P001","SAMEG315314","depositor",,,,,
66540330,"Newcastle","F324-C","UNEWi025-C","SAMEA4447909","P001","SAMEG315315","depositor",,,,,
66540444,"Newcastle","SF116 clone 1","UNEWi026-A ","SAMEA4567589","P001","SAMEG316948","depositor",,,,,
66540445,"Newcastle","SF116 clone 2","UNEWi026-B","SAMEA4567590","P001","SAMEG316949","depositor",,,,,
66540446,"Newcastle","SF116 clone K","UNEWi026-C","SAMEA4567591","P001","SAMEG316950","depositor",,,,,
66540406,"Newcastle","F116","UNEWi027-A","SAMEA4458542","P001","SAMEG316406","depositor",,,,,
66540389,"Oxford Uni ","MK082-30","UOXFi002-B","SAMEA4458549","M001","SAMEG316404","central_facility",,,,,
66540398,"Oxford Uni ","OX2-28","UOXFi006-A","SAMEA4458551","M001","SAMEG316405","central_facility",,,,,
66540071,"Sanger","HPSI1213i-pahc_4","WTSIi001-A","SAMEA2547633","P001","SAMEG301698","depositor","15/04/001","45 labels printed and sent on 15/04/15",,,
66540072,"Sanger","HPSI0913i-eika_2","WTSIi002-A","SAMEA2590621","P001","SAMEG301699","depositor","15/04/002","45 labels printed and sent on 27/04/15",,,
66540073,"Sanger","HPSI1213i-hehd_2","WTSIi003-A","SAMEA2518322","P001",,"depositor","15/04/003","45 labels printed and sent on 27/04/15",,,
66540074,"Sanger","HPSI1113i-qolg_3","WTSIi004-A","SAMEA2464810","P001",,"depositor","15/04/004","45 labels printed and sent on 15/04/15",,,
66540108,"Sanger ","HPSI1113i-qolg_1","WTSIi004-B","SAMEA2464797","P001",,"depositor","15/10/002",,,,
66540075,"Sanger","HPSI1113i-podx_1","WTSIi005-A","SAMEA2533339","P001",,"depositor","15/04/005","45 labels printed and sent on 15/04/15",,,
66540109,"Sanger","HPSI1113i-podx_2","WTSIi005-B","SAMEA2533336","P001",,"depositor","15/10/006",,,,
66540076,"Sanger","HPSI1113i-hayt_1","WTSIi006-A","SAMEA2445790","P001",,"depositor","15/04/006","45 labels printed and sent on 27/04/15",,,
66540110,"Sanger","HPSI1113i-hayt_3","WTSIi006-B","SAMEA2445784","P001",,"depositor","15/10/007",,,,
66540077,"Sanger","HPSI1113i-dons_1","WTSIi007-A","SAMEA2459961","P001",,"depositor","15/04/007","45 labels printed and sent on 27/04/15",,,
66540078,"Sanger","HPSI1013i-kuxp_1","WTSIi008-A","SAMEA2547622","P001",,"depositor","15/04/008","45 labels printed and sent on 15/04/15",,,
66540079,"Sanger","HPSI0913i-diku_1","WTSIi009-A","SAMEA2593858","P001",,"depositor","15/04/009","45 labels printed and sent on 27/04/15",,,
66540080,"Sanger","HPSI0314i-xugn_1","WTSIi010-A","SAMEA2645811","P001",,"depositor","15/04/010","45 labels printed and sent on 15/04/15",,,
66540111,"Sanger","HPSI0314i-xugn_2","WTSIi010-B","SAMEA2645809","P001",,"depositor","15/10/008",,,,
66540081,"Sanger","HPSI0314i-qonc_2","WTSIi011-A","SAMEA2707507","P001",,"depositor","15/04/011","43 labels printed and sent on 15/04/15",,,
66540192,"Sanger ","HPSI0314i-qonc_1","WTSIi011-B","SAMEA2707499","P001",,"depositor","16/02/013","Printed by ZD 16 Feb 16",,,
66540082,"Sanger","HPSI0314i-bubh_1","WTSIi012-A","SAMEA2675459","P001",,"depositor","15/04/012","45 labels printed and sent on 27/04/15",,,
66540181,"Sanger ","HPSI0314i-bubh_3","WTSIi012-B","SAMEA2698309","P001",,"depositor","16/02/002","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540083,"Sanger","HPSI0214i-kucg_2","WTSIi013-A","SAMEA2645814","P001",,"depositor","15/04/013","45 labels printed and sent on 27/04/15",,,
66540084,"Sanger","HPSI0214i-heja_2","WTSIi014-A","SAMEA2627578","P001","SAMEG301711","depositor","15/04/014","45 labels printed and sent on 27/04/15",,,
66540084,"Sanger","HPSI0214i-heja_2","WTSIi014-A","SAMEA2627578","P002","SAMEG307079","depositor","16/01/001","P002",,,
66540112,"Sanger","HPSI0214i-heja_1","WTSIi014-B","SAMEA2627577","P001","SAMEG305904","depositor","15/10/009",,,,
66540112,,"HPSI0214i-heja_1","WTSIi014-B","SAMEA2627577","P002","SAMEG307270","depositor","16/02/055",,,,
66540085,"Sanger","HPSI0114i-rozh_5","WTSIi015-A","SAMEA2555012","P001",,"depositor","15/04/015","45 labels printed and sent on 27/04/15",,,
66540113,"Sanger","HPSI0114i-rozh_4","WTSIi015-B","SAMEA2555017","P001",,"depositor","15/10/010",,,,
66540086,"Sanger","HPSI0114i-oevr_3","WTSIi016-A","SAMEA2570435","P001",,"depositor","15/04/016","45 labels printed and sent on 27/04/15",,,
66540087,"Sanger","HPSI0114i-lexy_2","WTSIi017-A","SAMEA2536404","P001",,"depositor","15/04/017","43 labels printed and sent on 15/04/15",,,
66540187,"Sanger ","HPSI0114i-lexy_1","WTSIi017-B","SAMEA2536416","P001",,"depositor","16/02/008","Printed by SP 12 Feb 16",,,
66540088,"Sanger","HPSI0114i-kolf_3","WTSIi018-A","SAMEA2547644","P001",,"depositor","15/04/018","45 labels printed and sent on 4/05/15",,,
66540180,"Sanger ","HPSI0114i-kolf_2","WTSIi018-B","SAMEA2547615","P001",,"depositor","16/02/001","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540089,"Sanger","HPSI0114i-iisa_3","WTSIi019-A","SAMEA2536410","P001",,"depositor","15/04/019","43 labels printed and sent on 15/04/15",,,
66540129,"Sanger ","HPSI0114i-iisa_1","WTSIi019-B","SAMEA2536412","P001",,"depositor","15/11/007","50 Labels printed 26NOV15 SP",,,
66540090,"Sanger","HPSI0114i-eipl_1","WTSIi020-A","SAMEA2536417","P001",,"depositor","15/04/020","45 labels printed and sent on 27/04/15",,,
66540239,"Sanger ","HPSI0114i-eipl_3","WTSIi020-B","SAMEA2536405","P001",,"depositor","16/03/010","Labels printed 11 March 16, reprinted ZD 04-Apr-16",,,
66540091,"Sanger ","HPSI1013i-wuye_2","WTSIi021-A","SAMEA2518332","P001",,"depositor","15/06/001","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540114,"Sanger","HPSI1013i-wuye_3","WTSIi021-B","SAMEA2518334","P001",,"depositor","15/10/011",,,,
66540092,"Sanger ","HPSI1013i-yemz_1","WTSIi022-A","SAMEA2613912","P001",,"depositor","15/06/002","50 labels printed and sent to Sanger 18 Jun 15 ",,,
